itemId,name,description,price,color,category,popularity,durability
82,T-Shirt,Trendy and fashionable.,72.72,Blue,Women's Clothing,3,3
83,Handbag,Made from premium materials.,73.52,Red,Men's Clothing,8,7
84,Jeans,Made from premium materials.,35.46,Green,Unisex Clothing,9,1
85,Belt,Affordable and durable.,66.87,Yellow,Accessories,5,7
86,Hat,Versatile and practical.,25.08,Violet,Accessories,8,4
87,Hat,Versatile and practical.,52.96,Blue,Men's Clothing,2,3
88,Dress,Elegant and chic.,12.98,Orange,Women's Clothing,7,2
89,Shoes,Made from premium materials.,64.23,Indigo,Unisex Clothing,5,5
90,Sunglasses,Made from premium materials.,83.62,Yellow,Unisex Clothing,6,7
91,Handbag,Elegant and chic.,82.86,Orange,Men's Clothing,7,10
92,Hoodie,A great addition to your collection.,57.06,Orange,Accessories,9,1
93,Belt,A comfortable and stylish piece.,26.68,Blue,Accessories,6,9
94,Shoes,Elegant and chic.,41.63,Indigo,Accessories,2,7
95,Belt,Made from premium materials.,29.04,Violet,Unisex Clothing,6,2
96,T-Shirt,A comfortable and stylish piece.,65.51,Violet,Unisex Clothing,5,6
97,Handbag,Trendy and fashionable.,81.83,Red,Men's Clothing,1,1
98,Shoes,Versatile and practical.,24.85,Yellow,Unisex Clothing,1,2
99,Handbag,A comfortable and stylish piece.,46.13,Violet,Women's Clothing,6,1
100,Sunglasses,A great addition to your collection.,75.86,Red,Women's Clothing,5,9
101,Jeans,Affordable and durable.,69.9,Yellow,Women's Clothing,4,10
102,Shoes,Essential for your wardrobe.,78.74,Yellow,Men's Clothing,1,10
103,Hoodie,A comfortable and stylish piece.,99.18,Indigo,Unisex Clothing,1,7
104,Handbag,High quality and durable.,11.6,Red,Men's Clothing,8,7
105,Shoes,Affordable and durable.,40.2,Orange,Accessories,9,8
106,Hat,Elegant and chic.,45.33,Indigo,Accessories,4,9
107,Blouse,Trendy and fashionable.,48.8,Yellow,Women's Clothing,10,10
108,Dress,Essential for your wardrobe.,21.99,Violet,Accessories,5,6
109,Jeans,Elegant and chic.,62.31,Blue,Unisex Clothing,6,2
110,Blouse,Versatile and practical.,72.2,Indigo,Women's Clothing,4,7
111,Hat,A comfortable and stylish piece.,22.03,Green,Men's Clothing,2,5
112,Dress,Made from premium materials.,54.34,Yellow,Unisex Clothing,6,3
113,Shoes,Perfect for any occasion.,23.93,Green,Men's Clothing,2,8
114,Shoes,Affordable and durable.,94.41,Violet,Accessories,1,5
115,T-Shirt,Versatile and practical.,52.57,Indigo,Women's Clothing,9,6
116,Belt,High quality and durable.,76.87,Yellow,Unisex Clothing,6,8
117,Belt,Perfect for any occasion.,29.03,Indigo,Accessories,5,1
118,Blouse,Elegant and chic.,93.56,Orange,Accessories,4,4
119,Jeans,Perfect for any occasion.,83.02,Green,Women's Clothing,8,3
120,Shoes,Elegant and chic.,13.19,Orange,Women's Clothing,6,2
121,Hoodie,A comfortable and stylish piece.,83.42,Green,Accessories,10,7
122,Hoodie,Trendy and fashionable.,20.82,Green,Accessories,10,1
123,Shoes,Versatile and practical.,95.47,Blue,Women's Clothing,7,2
124,Sunglasses,Essential for your wardrobe.,89.04,Orange,Women's Clothing,7,6
125,Sunglasses,Perfect for any occasion.,31.67,Indigo,Accessories,5,3
126,Sunglasses,Essential for your wardrobe.,85.46,Orange,Unisex Clothing,7,9
127,Belt,Elegant and chic.,19.1,Violet,Men's Clothing,8,3
128,Sunglasses,A comfortable and stylish piece.,12.38,Red,Men's Clothing,9,10
129,Dress,Perfect for any occasion.,86.52,Orange,Men's Clothing,2,2
130,Dress,Essential for your wardrobe.,96.85,Orange,Unisex Clothing,7,8
131,Sunglasses,Trendy and fashionable.,15.75,Orange,Unisex Clothing,1,1
132,Hat,High quality and durable.,45.86,Violet,Unisex Clothing,9,6
133,Hat,A great addition to your collection.,54.59,Green,Unisex Clothing,2,10
134,Shoes,Elegant and chic.,90.11,Indigo,Men's Clothing,9,3
135,Handbag,A comfortable and stylish piece.,22.94,Red,Men's Clothing,5,10
136,Jeans,Versatile and practical.,86.02,Blue,Unisex Clothing,8,1
137,Dress,Essential for your wardrobe.,79.66,Violet,Women's Clothing,2,4
138,Hat,Essential for your wardrobe.,22.54,Blue,Women's Clothing,7,4
139,Handbag,Essential for your wardrobe.,92.47,Blue,Women's Clothing,10,3
140,Hoodie,Trendy and fashionable.,65.99,Orange,Unisex Clothing,8,3
141,Hat,A great addition to your collection.,71.33,Orange,Accessories,2,1
142,T-Shirt,Versatile and practical.,82.04,Yellow,Accessories,4,5
143,Blouse,Made from premium materials.,46.91,Green,Unisex Clothing,1,1
144,Shoes,Perfect for any occasion.,32.85,Blue,Women's Clothing,8,9
145,Handbag,High quality and durable.,36.19,Indigo,Women's Clothing,6,2
146,Belt,A great addition to your collection.,58.21,Orange,Accessories,3,10
147,Shoes,Elegant and chic.,21.57,Indigo,Men's Clothing,5,5
148,Dress,Trendy and fashionable.,44.2,Yellow,Accessories,10,7
149,Jeans,Trendy and fashionable.,22.89,Indigo,Accessories,1,7
150,Shoes,High quality and durable.,12.1,Yellow,Women's Clothing,3,1
151,Belt,A great addition to your collection.,90.34,Violet,Men's Clothing,3,4
152,Belt,High quality and durable.,30.72,Red,Unisex Clothing,9,6
153,Sunglasses,A comfortable and stylish piece.,32.91,Blue,Accessories,2,9
154,Blouse,A comfortable and stylish piece.,34.75,Green,Unisex Clothing,4,8
155,Belt,A comfortable and stylish piece.,33.78,Blue,Accessories,3,2
156,Sunglasses,A comfortable and stylish piece.,60.25,Orange,Unisex Clothing,6,5
157,Hat,Versatile and practical.,32.18,Orange,Accessories,2,9
158,Shoes,A comfortable and stylish piece.,69.28,Indigo,Men's Clothing,4,4
159,Belt,A comfortable and stylish piece.,98.19,Indigo,Women's Clothing,3,2
160,Belt,Trendy and fashionable.,67.79,Red,Unisex Clothing,1,5
161,Belt,High quality and durable.,16.83,Orange,Accessories,9,6
162,Blouse,Elegant and chic.,76.26,Blue,Unisex Clothing,4,6
163,Hoodie,A comfortable and stylish piece.,55.14,Indigo,Accessories,6,1
164,Sunglasses,Affordable and durable.,23.05,Green,Women's Clothing,2,4
165,Handbag,Trendy and fashionable.,52.72,Red,Accessories,2,1
166,Sunglasses,Versatile and practical.,41.1,Orange,Unisex Clothing,3,7
167,Dress,Versatile and practical.,52.93,Indigo,Accessories,9,4
168,Blouse,A great addition to your collection.,45.8,Orange,Men's Clothing,9,7
169,T-Shirt,Affordable and durable.,43.68,Violet,Men's Clothing,5,7
170,Shoes,Elegant and chic.,52.58,Red,Accessories,8,10
171,Sunglasses,A comfortable and stylish piece.,33.85,Green,Men's Clothing,2,8
172,Jeans,Made from premium materials.,66.52,Blue,Unisex Clothing,2,7
173,Blouse,A great addition to your collection.,56.38,Red,Men's Clothing,4,4
174,Jeans,Versatile and practical.,59.15,Red,Accessories,8,2
175,Hoodie,Elegant and chic.,78.72,Blue,Accessories,9,2
176,Handbag,A great addition to your collection.,47.73,Orange,Women's Clothing,6,10
177,Sunglasses,High quality and durable.,65.89,Indigo,Unisex Clothing,9,4
178,Belt,Essential for your wardrobe.,35.88,Violet,Unisex Clothing,7,5
179,Belt,Essential for your wardrobe.,55.16,Red,Accessories,5,3
180,Belt,High quality and durable.,56.97,Indigo,Men's Clothing,3,1
181,Hat,Made from premium materials.,84.24,Blue,Accessories,8,5
182,Sunglasses,Essential for your wardrobe.,47.3,Orange,Unisex Clothing,5,7
183,Handbag,Perfect for any occasion.,96.0,Violet,Unisex Clothing,7,6
184,Shoes,A great addition to your collection.,92.38,Orange,Women's Clothing,7,2
185,Dress,Made from premium materials.,81.06,Orange,Women's Clothing,6,8
186,Hat,Essential for your wardrobe.,39.26,Violet,Women's Clothing,9,5
187,Hat,High quality and durable.,17.14,Red,Accessories,3,9
188,Shoes,Made from premium materials.,96.53,Orange,Men's Clothing,2,3
189,Hoodie,A great addition to your collection.,99.69,Yellow,Women's Clothing,7,10
190,T-Shirt,Perfect for any occasion.,94.06,Red,Men's Clothing,5,3
191,Handbag,Versatile and practical.,54.49,Blue,Women's Clothing,3,4
192,Blouse,Essential for your wardrobe.,33.14,Orange,Women's Clothing,10,3
193,Dress,High quality and durable.,15.96,Indigo,Women's Clothing,5,7
194,Shoes,Perfect for any occasion.,54.58,Green,Accessories,3,10
195,Hat,Trendy and fashionable.,18.8,Green,Women's Clothing,7,5
196,Blouse,A comfortable and stylish piece.,30.02,Red,Men's Clothing,5,1
197,Handbag,Versatile and practical.,20.35,Green,Accessories,4,4
198,Jeans,Perfect for any occasion.,86.23,Indigo,Accessories,1,9
199,T-Shirt,Essential for your wardrobe.,27.88,Blue,Unisex Clothing,1,5
200,T-Shirt,A comfortable and stylish piece.,26.03,Orange,Unisex Clothing,4,10
201,T-Shirt,Essential for your wardrobe.,27.37,Indigo,Unisex Clothing,1,5
202,T-Shirt,Made from premium materials.,96.3,Green,Men's Clothing,4,5
203,T-Shirt,High quality and durable.,51.81,Blue,Men's Clothing,5,7
204,Shoes,Elegant and chic.,55.83,Indigo,Unisex Clothing,5,10
205,Blouse,Perfect for any occasion.,49.59,Indigo,Men's Clothing,5,4
206,Jeans,Affordable and durable.,68.36,Violet,Accessories,2,10
207,Sunglasses,A comfortable and stylish piece.,40.59,Red,Women's Clothing,3,2
208,Handbag,A comfortable and stylish piece.,12.77,Violet,Unisex Clothing,7,8
209,Jeans,Versatile and practical.,92.6,Green,Women's Clothing,1,2
210,Hoodie,Elegant and chic.,43.27,Yellow,Unisex Clothing,2,10
211,Dress,Perfect for any occasion.,70.77,Indigo,Men's Clothing,1,8
212,Hoodie,High quality and durable.,24.21,Violet,Unisex Clothing,2,2
213,Hoodie,Trendy and fashionable.,72.24,Violet,Accessories,4,7
214,Hoodie,Essential for your wardrobe.,91.43,Yellow,Accessories,6,9
215,Hat,Elegant and chic.,58.8,Indigo,Men's Clothing,9,6
216,Belt,Perfect for any occasion.,79.9,Yellow,Men's Clothing,10,6
217,Hoodie,A comfortable and stylish piece.,78.24,Orange,Accessories,10,5
218,T-Shirt,High quality and durable.,12.14,Green,Men's Clothing,5,9
219,T-Shirt,Essential for your wardrobe.,74.27,Indigo,Accessories,4,10
220,Jeans,A comfortable and stylish piece.,18.85,Green,Women's Clothing,10,7
221,Shoes,Essential for your wardrobe.,97.38,Orange,Accessories,7,7
222,Jeans,Made from premium materials.,62.89,Yellow,Men's Clothing,5,1
223,Belt,Made from premium materials.,40.35,Orange,Men's Clothing,10,1
224,Dress,Trendy and fashionable.,41.66,Indigo,Men's Clothing,2,7
225,Belt,Affordable and durable.,39.86,Green,Men's Clothing,5,8
226,Shoes,A comfortable and stylish piece.,67.51,Yellow,Women's Clothing,4,1
227,Blouse,High quality and durable.,48.9,Indigo,Men's Clothing,4,9
228,Jeans,Versatile and practical.,78.5,Blue,Accessories,7,7
229,Belt,Perfect for any occasion.,97.98,Blue,Men's Clothing,4,7
230,Jeans,Perfect for any occasion.,70.11,Violet,Unisex Clothing,9,5
231,Sunglasses,A comfortable and stylish piece.,81.17,Blue,Men's Clothing,3,9
232,Dress,Essential for your wardrobe.,19.17,Green,Men's Clothing,3,10
233,Shoes,Made from premium materials.,43.08,Indigo,Men's Clothing,7,9
234,T-Shirt,Essential for your wardrobe.,29.53,Blue,Unisex Clothing,3,2
235,Dress,High quality and durable.,88.06,Blue,Accessories,4,7
236,Blouse,Essential for your wardrobe.,12.75,Indigo,Men's Clothing,6,1
237,Blouse,Versatile and practical.,99.07,Violet,Women's Clothing,8,9
238,Dress,Made from premium materials.,41.58,Green,Accessories,9,4
239,Dress,Perfect for any occasion.,44.56,Yellow,Accessories,5,9
240,Hat,Versatile and practical.,24.99,Orange,Women's Clothing,5,8
241,Belt,Versatile and practical.,44.12,Yellow,Women's Clothing,6,8
242,Hat,High quality and durable.,93.87,Indigo,Women's Clothing,3,10
243,Dress,Trendy and fashionable.,66.56,Red,Women's Clothing,7,3
244,Jeans,A comfortable and stylish piece.,51.78,Blue,Accessories,6,4
245,Hoodie,Trendy and fashionable.,98.3,Yellow,Men's Clothing,8,9
246,Shoes,Trendy and fashionable.,19.7,Red,Unisex Clothing,6,6
247,Hat,A great addition to your collection.,79.21,Red,Accessories,2,2
248,Shoes,A great addition to your collection.,70.61,Yellow,Accessories,10,4
249,Handbag,Essential for your wardrobe.,79.82,Red,Unisex Clothing,4,1
250,T-Shirt,A comfortable and stylish piece.,33.22,Violet,Unisex Clothing,1,9
251,Hat,Perfect for any occasion.,92.26,Blue,Unisex Clothing,8,9
252,Shoes,Trendy and fashionable.,86.34,Violet,Accessories,5,9
253,Dress,Versatile and practical.,35.28,Blue,Accessories,1,10
254,Jeans,A comfortable and stylish piece.,53.9,Orange,Women's Clothing,1,3
255,Dress,High quality and durable.,76.31,Red,Accessories,7,1
256,Shoes,A comfortable and stylish piece.,50.31,Yellow,Women's Clothing,9,5
257,Dress,Affordable and durable.,36.56,Indigo,Women's Clothing,8,10
258,Hoodie,Essential for your wardrobe.,28.05,Orange,Men's Clothing,8,3
259,Dress,A comfortable and stylish piece.,87.02,Red,Women's Clothing,9,9
260,Hoodie,A comfortable and stylish piece.,79.91,Orange,Accessories,3,6
261,Sunglasses,Made from premium materials.,30.97,Blue,Accessories,6,4
262,Dress,Elegant and chic.,71.97,Orange,Women's Clothing,1,10
263,Shoes,Trendy and fashionable.,93.76,Orange,Unisex Clothing,7,4
264,Handbag,Versatile and practical.,72.4,Indigo,Unisex Clothing,10,1
265,Hat,Trendy and fashionable.,22.14,Indigo,Accessories,1,10
266,Belt,Versatile and practical.,28.03,Green,Unisex Clothing,5,8
267,T-Shirt,A great addition to your collection.,85.37,Violet,Men's Clothing,4,10
268,Blouse,A comfortable and stylish piece.,88.54,Green,Women's Clothing,3,6
269,Shoes,Affordable and durable.,17.7,Green,Accessories,8,2
270,Handbag,High quality and durable.,87.9,Indigo,Accessories,1,7
271,Blouse,A great addition to your collection.,96.27,Orange,Women's Clothing,1,5
272,Dress,High quality and durable.,68.48,Violet,Unisex Clothing,1,4
273,Blouse,Perfect for any occasion.,95.61,Indigo,Men's Clothing,6,10
274,Dress,A comfortable and stylish piece.,87.66,Yellow,Accessories,4,5
275,T-Shirt,Perfect for any occasion.,88.43,Violet,Men's Clothing,2,3
276,Handbag,A comfortable and stylish piece.,65.04,Green,Unisex Clothing,7,6
277,Hat,A comfortable and stylish piece.,17.43,Orange,Accessories,5,5
278,Hat,Trendy and fashionable.,55.49,Orange,Men's Clothing,9,10
279,Sunglasses,High quality and durable.,27.98,Green,Unisex Clothing,10,5
280,Blouse,A comfortable and stylish piece.,23.64,Yellow,Unisex Clothing,4,9
281,Sunglasses,A great addition to your collection.,94.94,Yellow,Men's Clothing,6,4
282,T-Shirt,Trendy and fashionable.,72.92,Violet,Accessories,1,2
283,Sunglasses,Made from premium materials.,75.39,Red,Unisex Clothing,2,9
284,Belt,Elegant and chic.,40.91,Yellow,Men's Clothing,4,2
285,Belt,Affordable and durable.,97.22,Red,Unisex Clothing,4,4
286,Jeans,Trendy and fashionable.,13.83,Yellow,Accessories,4,8
287,Jeans,A comfortable and stylish piece.,71.77,Orange,Men's Clothing,7,8
288,Belt,A comfortable and stylish piece.,99.8,Green,Accessories,3,10
289,Hat,Perfect for any occasion.,13.08,Red,Men's Clothing,9,8
290,Jeans,High quality and durable.,52.84,Green,Unisex Clothing,2,3
291,Jeans,High quality and durable.,51.17,Blue,Unisex Clothing,7,4
292,Belt,Elegant and chic.,55.1,Violet,Women's Clothing,1,5
293,Hoodie,Essential for your wardrobe.,85.18,Violet,Men's Clothing,1,10
294,Sunglasses,A great addition to your collection.,44.55,Blue,Accessories,2,4
295,Handbag,A great addition to your collection.,48.08,Yellow,Unisex Clothing,6,1
296,Sunglasses,Elegant and chic.,71.99,Green,Unisex Clothing,4,9
297,Belt,Affordable and durable.,49.32,Green,Men's Clothing,3,1
298,Hat,High quality and durable.,36.61,Indigo,Men's Clothing,6,7
299,Dress,Versatile and practical.,71.07,Green,Women's Clothing,2,2
300,Hat,Essential for your wardrobe.,45.24,Blue,Women's Clothing,3,8
301,Jeans,A comfortable and stylish piece.,28.17,Blue,Accessories,3,3
302,Jeans,A comfortable and stylish piece.,65.02,Blue,Accessories,4,3
303,Blouse,A comfortable and stylish piece.,38.71,Green,Men's Clothing,5,4
304,Blouse,Affordable and durable.,10.06,Red,Unisex Clothing,6,10
305,Dress,Versatile and practical.,21.5,Green,Unisex Clothing,1,8
306,Shoes,High quality and durable.,70.1,Green,Men's Clothing,2,5
307,Hat,Made from premium materials.,24.88,Orange,Men's Clothing,6,10
308,Hat,A comfortable and stylish piece.,62.06,Yellow,Men's Clothing,9,10
309,Blouse,Made from premium materials.,10.11,Blue,Women's Clothing,7,10
310,Sunglasses,Essential for your wardrobe.,35.49,Red,Men's Clothing,5,1
311,T-Shirt,Trendy and fashionable.,24.99,Green,Men's Clothing,10,5
312,Hat,Made from premium materials.,38.86,Violet,Unisex Clothing,8,7
313,Belt,Versatile and practical.,35.93,Red,Unisex Clothing,10,8
314,Sunglasses,Made from premium materials.,88.7,Green,Accessories,5,6
315,Jeans,Elegant and chic.,16.23,Indigo,Unisex Clothing,4,1
316,Hoodie,Essential for your wardrobe.,35.5,Yellow,Women's Clothing,8,2
317,Hat,Essential for your wardrobe.,47.51,Red,Women's Clothing,9,6
318,Blouse,A comfortable and stylish piece.,15.84,Indigo,Men's Clothing,9,6
319,Jeans,Elegant and chic.,97.0,Violet,Men's Clothing,7,1
320,Handbag,Trendy and fashionable.,23.54,Orange,Accessories,6,1
321,Handbag,A great addition to your collection.,89.8,Indigo,Unisex Clothing,10,1
322,Blouse,A great addition to your collection.,75.21,Blue,Women's Clothing,1,6
323,Shoes,Made from premium materials.,39.63,Red,Accessories,2,10
324,Blouse,Elegant and chic.,45.2,Blue,Women's Clothing,1,1
325,Hat,Perfect for any occasion.,62.73,Red,Accessories,2,10
326,T-Shirt,High quality and durable.,43.51,Blue,Women's Clothing,2,9
327,Hoodie,High quality and durable.,57.76,Green,Men's Clothing,4,4
328,Blouse,Trendy and fashionable.,39.27,Green,Unisex Clothing,6,2
329,Belt,Versatile and practical.,34.1,Indigo,Unisex Clothing,7,1
330,Dress,Versatile and practical.,13.04,Violet,Unisex Clothing,6,2
331,Handbag,A comfortable and stylish piece.,27.14,Violet,Unisex Clothing,4,5
332,Dress,High quality and durable.,26.08,Yellow,Unisex Clothing,7,3
333,Hoodie,A great addition to your collection.,29.93,Violet,Women's Clothing,10,4
334,Handbag,Trendy and fashionable.,16.74,Indigo,Women's Clothing,9,4
335,Shoes,A great addition to your collection.,65.14,Orange,Unisex Clothing,1,3
336,Sunglasses,Perfect for any occasion.,23.03,Violet,Men's Clothing,2,7
337,Sunglasses,A great addition to your collection.,45.43,Yellow,Men's Clothing,9,10
338,T-Shirt,Perfect for any occasion.,99.34,Indigo,Women's Clothing,7,3
339,Shoes,Versatile and practical.,13.23,Yellow,Women's Clothing,4,6
340,Hat,A great addition to your collection.,60.2,Orange,Women's Clothing,7,8
341,Belt,Affordable and durable.,19.8,Indigo,Women's Clothing,7,8
342,T-Shirt,Made from premium materials.,58.81,Blue,Accessories,1,5
343,Hat,Versatile and practical.,52.97,Green,Unisex Clothing,2,2
344,Blouse,High quality and durable.,44.41,Blue,Women's Clothing,1,9
345,Hoodie,Made from premium materials.,55.6,Orange,Men's Clothing,6,8
346,Belt,High quality and durable.,52.42,Blue,Women's Clothing,8,9
347,Blouse,Elegant and chic.,92.42,Green,Men's Clothing,3,9
348,Handbag,Perfect for any occasion.,88.41,Violet,Women's Clothing,10,7
349,T-Shirt,High quality and durable.,97.72,Violet,Unisex Clothing,7,8
350,Hoodie,A great addition to your collection.,26.07,Indigo,Unisex Clothing,6,10
351,Blouse,Trendy and fashionable.,34.4,Red,Accessories,10,10
352,Shoes,Perfect for any occasion.,95.16,Indigo,Men's Clothing,9,4
353,Hoodie,Essential for your wardrobe.,57.06,Orange,Accessories,9,10
354,Blouse,A great addition to your collection.,48.98,Green,Women's Clothing,10,6
355,Belt,Made from premium materials.,15.86,Blue,Men's Clothing,10,6
356,T-Shirt,Perfect for any occasion.,66.39,Orange,Women's Clothing,4,5
357,Hat,Versatile and practical.,90.28,Red,Men's Clothing,2,7
358,Shoes,Trendy and fashionable.,98.05,Yellow,Men's Clothing,3,10
359,Blouse,A comfortable and stylish piece.,10.65,Yellow,Men's Clothing,1,9
360,Handbag,Affordable and durable.,51.51,Yellow,Accessories,10,8
361,Shoes,Made from premium materials.,88.4,Yellow,Accessories,10,1
362,T-Shirt,Made from premium materials.,24.95,Blue,Women's Clothing,9,2
363,Sunglasses,Perfect for any occasion.,72.42,Orange,Women's Clothing,5,5
364,Jeans,Trendy and fashionable.,47.79,Blue,Unisex Clothing,5,7
365,Shoes,Affordable and durable.,17.78,Red,Women's Clothing,4,7
366,Handbag,Made from premium materials.,13.6,Green,Men's Clothing,3,6
367,Blouse,Versatile and practical.,45.54,Blue,Women's Clothing,9,4
368,Hoodie,Elegant and chic.,36.84,Indigo,Women's Clothing,3,10
369,Hoodie,Essential for your wardrobe.,14.14,Blue,Unisex Clothing,7,4
370,Shoes,High quality and durable.,72.58,Blue,Women's Clothing,1,3
371,Shoes,Versatile and practical.,94.09,Orange,Men's Clothing,8,3
372,Dress,A great addition to your collection.,88.39,Orange,Men's Clothing,7,9
373,Hoodie,A comfortable and stylish piece.,42.63,Violet,Men's Clothing,1,4
374,Hoodie,Elegant and chic.,34.47,Orange,Unisex Clothing,3,8
375,Handbag,Affordable and durable.,18.46,Blue,Women's Clothing,4,1
376,T-Shirt,Made from premium materials.,47.79,Orange,Accessories,10,8
377,Sunglasses,Affordable and durable.,80.04,Red,Men's Clothing,8,6
